"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","glmmTMB_collapsed_vars"
23,"Lin",0.666666666666667,0,0.0290749747449352,1,1,0.0773405062499783,10,0.1,0.0167620730884455,0.0028828843606019,NA,NA
23,"Bondell",1,0.4,0.00446575359133333,1,0.5,0.0311039792142945,0.4,0.4,0.00249999677334867,0,NA,NA
24,"glmmTMB",1,1,0.00359188767599264,NA,NA,0.0277990066488761,1.22508372483069,NA,NA,NA,FALSE,""
24,"Lin",1,0,0.000391735933847315,1,1,0.0329187454025532,2.5,0.1,0.00971852339287385,0.000324332093811223,NA,NA
24,"Bondell",1,0.2,0.000949669104444445,1,0,0.0240902845278217,0.4,0.4,0,0,NA,NA
25,"glmmTMB",1,1,0.00713121305554379,NA,NA,0.0324139092219062,0.971000224804935,NA,NA,NA,FALSE,""
25,"Lin",1,0,0.00315132945300474,1,0,0.0369677263341474,2.5,0.5,-0.000731057778831569,-0.000245039429762359,NA,NA
25,"Bondell",1,0.4,0.00511302238944444,1,0,0.0289116870300031,0.4,0.4,0,0,NA,NA
26,"glmmTMB",1,1,0.0111761411306581,NA,NA,0.0600340591841631,1.22508372483069,NA,NA,NA,FALSE,""
26,"Lin",1,0,0.00442638356488361,1,0,0.0460877711187427,2.5,2.5,0,0,NA,NA
26,"Bondell",1,0.4,0.00548772567755556,1,0.5,0.0495081204586162,0.4,0.4,0.000643040986198079,0,NA,NA
27,"glmmTMB",1,0.8,0.0503219923648211,NA,NA,0.131485946997106,15.8158385678152,NA,NA,NA,FALSE,""
27,"Lin",0.666666666666667,0,0.0453357410141685,1,0.5,0.124978021559698,2.5,2.5,0,0.0149225963268605,NA,NA
27,"Bondell",0.666666666666667,0,0.0453647954033333,1,1,0.125658728578253,0.4,0.4,0.000437987759368549,0.0183975337510285,NA,NA
28,"glmmTMB",0.666666666666667,0.4,0.0409964842346388,NA,NA,0.109356825081176,20.6184125759897,NA,NA,NA,TRUE,"x1"
28,"Lin",0.666666666666667,0,0.02924254723457,1,0,0.082221832527635,5,1,0,-0.000653030285738719,NA,NA
28,"Bondell",0.666666666666667,0.2,0.0329689000704444,1,0,0.0899946931756129,0.4,0.4,0,0,NA,NA
29,"glmmTMB",1,1,0.00769814731211447,NA,NA,0.0359469770003319,0.112775423252096,NA,NA,NA,FALSE,""
29,"Lin",1,0,0.000255059781602518,1,0,0.0218674519029977,2.5,2.5,0,0,NA,NA
29,"Bondell",1,0,0.00173652200566667,1,0.5,0.026002159377136,0.4,0.4,0.00362962863097151,0,NA,NA
30,"glmmTMB",1,1,0.0108210986582136,NA,NA,0.0505806549579184,1.22508372483069,NA,NA,NA,FALSE,""
30,"Lin",0.666666666666667,0,0.0283527978159135,1,0,0.0819494950315948,10,2.5,0,0,NA,NA
30,"Bondell",1,0.2,0.000701764169444444,1,0,0.0276259115805615,0.4,0.4,0,0,NA,NA
31,"glmmTMB",1,1,0.00270893073521142,NA,NA,0.0302478663075197,0.001,NA,NA,NA,FALSE,""
31,"Lin",0.666666666666667,0,0.0279045434497201,1,0,0.112120665030887,5,1,0,-0.000142904345965084,NA,NA
31,"Bondell",1,0.2,0.00370661014,1,0,0.0415744614746583,0.4,0.4,0,0,NA,NA
32,"glmmTMB",1,1,0.0267021111882045,NA,NA,0.0687347851969276,0.001,NA,NA,NA,FALSE,""
32,"Lin",0.666666666666667,0,0.0288338830923813,1,1,0.116326037973233,5,0.1,0.00657324381931654,0.0144996014636085,NA,NA
32,"Bondell",1,0.2,0.0246422721308889,1,0.5,0.0906623531709887,0.4,0.4,0.00578825364622267,0,NA,NA
33,"glmmTMB",1,1,0.00219142025860833,NA,NA,0.0292154370441129,1.22508372483069,NA,NA,NA,FALSE,""
33,"Lin",1,0,0.000195601691828972,1,0.5,0.0224383614327551,2.5,2.5,0.00188604208547564,0,NA,NA
33,"Bondell",1,0.4,0.00166777953933333,1,0.5,0.0288806061539508,0.4,0.4,0.00153613122400324,0,NA,NA
34,"glmmTMB",1,1,0.00607422106521808,NA,NA,0.0257043786511067,1.22508372483069,NA,NA,NA,FALSE,""
34,"Lin",0.666666666666667,0,0.0278633015966012,1,0.5,0.075807811380058,10,2.5,0.0004023792710966,0,NA,NA
34,"Bondell",1,0.2,0.000390153034444444,1,0.5,0.0211161991933772,0.4,0.4,0.0112113048539247,0,NA,NA
35,"glmmTMB",1,0.8,0.0164202813880302,NA,NA,0.0385355121203959,1.22508372483069,NA,NA,NA,FALSE,""
35,"Lin",0.666666666666667,0,0.0280165567032427,1,0.5,0.0543221256377668,10,0.1,-0.00355074442003506,0.00604294402391599,NA,NA
35,"Bondell",1,0.2,0.0101977475767778,1,0.5,0.0242108493461313,0.4,0.4,0,0.00202347576999391,NA,NA
36,"glmmTMB",1,1,0.0312449948405361,NA,NA,0.0674903051510654,15.8158385678152,NA,NA,NA,FALSE,""
36,"Lin",0.666666666666667,0,0.0295718715008889,1,0.5,0.0799286101022133,5,0.1,0.0502988136625996,-0.0038097646640306,NA,NA
36,"Bondell",1,0.4,0.0230056718535556,1,0.5,0.0613261987514229,0.4,0.4,0.0334307580917093,0,NA,NA
37,"glmmTMB",0.666666666666667,0.4,0.0397686021704183,NA,NA,0.103240184522595,54.7540494343068,NA,NA,NA,TRUE,"x1"
37,"Lin",0.666666666666667,0,0.0281738288637357,1,1,0.0890207628778903,5,0.1,0.00432648966659813,0.0333270263813334,NA,NA
37,"Bondell",1,0.2,0.0104590371878889,1,0.5,0.0475895732622086,0.4,0.4,0,0.0094935358526545,NA,NA
38,"glmmTMB",1,1,0.00507814591531777,NA,NA,0.0253763980232292,0.001,NA,NA,NA,FALSE,""
38,"Lin",0.666666666666667,0,0.0283225878889608,1,0.5,0.0734000853794625,5,0.1,0.00738958664419771,-0.00229416028676523,NA,NA
38,"Bondell",1,0.4,0.0107084334006667,1,0.5,0.0366811745017984,0.4,0.4,0.0059226425098758,0,NA,NA
39,"glmmTMB",1,1,0.00797826857810294,NA,NA,0.0164068079682799,0.001,NA,NA,NA,FALSE,""
39,"Lin",1,0.6,0.00631536603427124,1,0,0.0297903811537911,0.5,0.5,-0.00271857211366129,0,NA,NA
39,"Bondell",1,0.6,0.000361200559333333,1,0,0.0113259640125446,0.4,0.4,0,0,NA,NA
40,"glmmTMB",1,1,0.00794486222458008,NA,NA,0.0337290813199592,0.001,NA,NA,NA,FALSE,""
40,"Lin",1,0,0.00378489409360018,1,0,0.0270837209975793,2.5,2.5,0,0,NA,NA
40,"Bondell",1,0.2,0.00507997104566667,1,0,0.0295856717868797,0.4,0.4,0,0,NA,NA
41,"glmmTMB",1,1,0.00898974057558312,NA,NA,0.0284082182771332,1.22508372483069,NA,NA,NA,FALSE,""
